product_id,title,category_name,price_gbp,price_inr,rating,in_stock
boar-island-anna-pigeon-19_613,Boar Island (Anna Pigeon #19),Mystery,59.48,6275.14,3,1
the-past-never-ends_942,The Past Never Ends,Mystery,56.5,5960.75,4,1
the-last-painting-of-sara-de-vos_259,The Last Painting of Sara de Vos,Historical Fiction,55.55,5860.52,2,1
a-flight-of-arrows-the-pathfinders-2_876,A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5858.42,5,1
i-am-a-hero-omnibus-volume-1_898,I am a Hero Omnibus Volume 1,Sequential Art,54.63,5763.46,3,1
murder-at-the-42nd-street-library-raymond-ambler-1_624,Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,5734.98,4,1
the-last-mile-amos-decker-2_754,The Last Mile (Amos Decker #2),Mystery,54.21,5719.16,2,1
tipping-the-velvet_999,Tipping the Velvet,Historical Fiction,53.74,5669.57,1,1
the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5517.65,5,1
scott-pilgrims-precious-little-life-scott-pilgrim-1_987,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,5516.6,5,1
