title,price_gbp,price_inr
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,4949.0
Girl in the Blue Coat,46.83,4940.56
Glory over Everything: Beyond The Kitchen House,45.84,4836.12
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,4811.85
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55
A Paris Apartment,39.01,4115.55
The Nameless City (The Nameless City #1),38.16,4025.88
The Invention of Wings,37.34,3939.37
The House by the Lake,36.95,3898.23
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,3873.96
