title,rating,price_inr,in_stock
A Flight of Arrows (The Pathfinders #2),5,5858.42,1
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,5517.65,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,5516.6,1
A Time of Torment (Charlie Parker #14),5,5100.92,1
The Red Tent,5,3762.13,1
Mrs. Houdini,5,3191.38,1
The Passion of Dolssa,5,2987.76,1
What Happened on Beale Street (Secrets of the South Mysteries #2),5,2676.54,1
Voyager (Outlander #3),5,2222.89,1
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5,1435.86,1
